time,artist,song,date
21:37,Stu Larsen,Hurricane,"Do, 22.10"
21:33,Matt Simons,Better Tomorrow,"Do, 22.10"
21:32,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
21:29,Veronica Fusaro,Beach,"Do, 22.10"
21:26,Tom Gregory,What Love Is,"Do, 22.10"
21:26,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
21:21,Katie Melua,English Manner,"Do, 22.10"
21:18,Katie Melua,Maybe I Dreamt It,"Do, 22.10"
21:17,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
21:14,Mallrat,Rockstar,"Do, 22.10"
21:11,Benny Blanco & Justin Bieber,Lonely,"Do, 22.10"
21:11,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
21:08,Justin Bieber,Holy,"Do, 22.10"
21:06,Kelvin Jones,Don't Let Me Go,"Do, 22.10"
21:00,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
20:57,Mark Forster x VIZE,Bist du Okay,"Do, 22.10"
20:54,Keith Urban & P!nk,One Too Many,"Do, 22.10"
20:51,Bryan Adams,Summer Of '69,"Do, 22.10"
20:49,Marshmello & Demi Lovato,OK Not To Be OK,"Do, 22.10"
20:46,Ray Dalton,In My Bones,"Do, 22.10"
20:44,Dennis Lloyd,Alien,"Do, 22.10"
20:39,Elle King,Ex's & Oh's,"Do, 22.10"
20:38,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
20:35,Joris,Nur die Musik,"Do, 22.10"
20:32,Sunrise Avenue,Flag,"Do, 22.10"
20:28,Giant Rooks,Watershed,"Do, 22.10"
20:27,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
20:24,The Faim,Summer Is A Curse,"Do, 22.10"
20:20,Lady Gaga,Bad Romance,"Do, 22.10"
20:16,Bosse,Der letzte Tanz,"Do, 22.10"
20:16,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
20:12,Master KG feat. Nomcebo Zikode,Jerusalema,"Do, 22.10"
20:09,Twenty One Pilots,Stressed Out,"Do, 22.10"
20:05,Zoë Wees,Control,"Do, 22.10"
20:00,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
19:56,Freya Ridings,Castles,"Do, 22.10"
19:54,Welshly Arms,Learn To Let Go,"Do, 22.10"
19:52,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
19:49,Murray Head,One Night In Bangkok,"Do, 22.10"
19:46,"Clean Bandit, Mabel feat. 24kGoldn",Tick Tock,"Do, 22.10"
19:38,Adele,Hello,"Do, 22.10"
19:35,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
19:31,Silbermond,Ein anderer Sommer,"Do, 22.10"
19:27,Ellie Goulding,Power,"Do, 22.10"
19:24,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
19:21,Dean Lewis,Be Alright,"Do, 22.10"
19:17,Spin Doctors,Two Princes,"Do, 22.10"
19:12,Banners,Someone To You,"Do, 22.10"
19:10,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
19:07,Ava Max,Who's Laughing Now,"Do, 22.10"
18:57,Jonas Brothers,Only Human,"Do, 22.10"
18:56,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
18:53,Johannes Oerding,Ungeschminkt,"Do, 22.10"
18:50,Peter Fox,Haus Am See,"Do, 22.10"
18:43,Reamonn,Supergirl,"Do, 22.10"
18:40,Purple Disco Machine & Sophie And The Giants,Hypnotized,"Do, 22.10"
18:39,Mr. Oizo,Flat Beat,"Do, 22.10"
18:36,Milow,Whatever it takes,"Do, 22.10"
18:33,Charlie Puth,Attention,"Do, 22.10"
18:30,Harry Styles,Watermelon Sugar,"Do, 22.10"
18:25,Mr. Oizo,Flat Beat,"Do, 22.10"
18:23,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
18:19,Alphaville,Forever Young,"Do, 22.10"
18:16,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,"Do, 22.10"
18:14,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
18:12,Ofenbach & Nick Waterhouse,Katchi,"Do, 22.10"
18:08,David Guetta & Sia,Let's Love,"Do, 22.10"
18:05,Dermot Kennedy,Giants,"Do, 22.10"
18:00,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
17:57,Gashi feat. Sting,Mama,"Do, 22.10"
17:51,Icehouse,Hey Little Girl,"Do, 22.10"
17:50,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
17:47,Lotte & Max Giesinger,"Auf das, was da noch kommt","Do, 22.10"
17:44,Rea Garvey,Talk To Your Body,"Do, 22.10"
17:39,Post Malone,Circles,"Do, 22.10"
17:39,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
17:36,"Lost Frequencies, Zonderling & Kelvin Jones",Love To Go,"Do, 22.10"
17:33,Wincent Weiss,Musik Sein,"Do, 22.10"
17:28,Kygo feat. Avicii & Sandro Cavazza,Forever Yours (Tribute),"Do, 22.10"
17:27,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
17:23,Ace Of Base,All That She Wants,"Do, 22.10"
17:20,Alicia Keys,Underdog,"Do, 22.10"
17:17,Alle Farben & Younotus,Please Tell Rosie,"Do, 22.10"
17:14,Revolverheld,Leichter,"Do, 22.10"
17:11,Matt Simons,Open Up,"Do, 22.10"
16:57,Shawn Mendes,Wonder,"Do, 22.10"
16:55,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
16:51,N-Sync,Tearing Up My Heart,"Do, 22.10"
16:48,Alle Farben & Janieck,Little Hollywood,"Do, 22.10"
16:45,Jonas Brothers,Sucker,"Do, 22.10"
16:41,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
16:38,Michael Schulte,For A Second,"Do, 22.10"
16:35,Clean Bandit & Zara Larsson,Symphony,"Do, 22.10"
16:32,Mark Forster,Übermorgen,"Do, 22.10"
16:28,The Underdog Project,Summer Jam (Alle Farben Remix),"Do, 22.10"
16:26,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
16:22,Robbie Williams,Feel,"Do, 22.10"
16:19,Clueso,Flugmodus,"Do, 22.10"
16:15,Dua Lipa,IDGAF,"Do, 22.10"
16:11,Robin Schulz & Wes,Alane,"Do, 22.10"
16:11,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
16:08,Walk The Moon,Shut Up And Dance,"Do, 22.10"
16:05,Ava Max,Kings & Queens,"Do, 22.10"
16:00,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
15:56,Pink,Whatever You Want,"Do, 22.10"
15:49,Michael Jackson,Black Or White,"Do, 22.10"
15:49,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
15:46,Robin Schulz,In Your Eyes,"Do, 22.10"
15:42,Joris,Du,"Do, 22.10"
15:40,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
15:37,Miley Cyrus,Midnight Sky,"Do, 22.10"
15:33,Silbermond,B 96,"Do, 22.10"
15:30,The Weeknd,Blinding Lights,"Do, 22.10"
15:26,Matt Simons,Better Tomorrow,"Do, 22.10"
15:25,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
15:21,Roxette,Joyride,"Do, 22.10"
15:18,Ed Sheeran & Khalid,Beautiful People,"Do, 22.10"
15:15,Jonas Brothers Feat. Karol G,X,"Do, 22.10"
15:14,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
15:11,Kungs & Jamie N Commons,Don't You Know,"Do, 22.10"
15:07,Zoë Wees,Control,"Do, 22.10"
15:04,Justin Jesso,Getting Closer,"Do, 22.10"
14:53,NDR 2,Der Norden hält zusammen - ndr.de/ndr2,"Do, 22.10"
14:50,James Blunt,Stay The Night,"Do, 22.10"
